item_description,item_id,restaurant_id,restaurant,classification,unit_price,address_city
Couve,0072a374cedd7bfd098e1c442bfe7da3cd545e74a92ce80d2964acf56375292b,fd33576af1d6799401d868a34198d24a839ebdd113898e476eb8cfc0737b7696,Sabor Caseiro,Complementos,3,SAO PAULO
Pastel de carne com queijo,0072b97164c0d40e0ab0d29670e99c74e96546c85066d0d16f1da13b89c12b43,13772fb5c96a63169d3ebaf690330cb0dd14f9ad41efdb4d58dc709affdc3e8e,Pastelaria Laguna,Pastéis,7,SAO PAULO
Aquarius Fresh Limão 510ml,0072c001cd28163e406ad24a7af00c427e0321cd0299ff3fb813d39bfba8dfce,a8befb8c78b66549783d91d05b5cc6503523b25423774dbd4a1ceb5ce3e6e5ac,Macunaíma - Boa Viagem,Bebidas,5.8,RECIFE
Milk Shake Creme,0072c001cd28163e406ad24a7af00c427e0321cd0299ff3fb813d39bfba8dfce,9be65459211b7ae744f11e329a28e8a943625eaddc83338c624ece7fafc5b1e5,America - Alameda Santos,Shakes,28.5,SAO PAULO
Burguer Plantas vs. Zumbis,007305539b1c014a253f2ffd75ed251c342aca70f63ece652f19930273770e6f,5facc41d45e36b7848606dfdec6c354ae0ee655337dff9928048a9d4fb8b4eeb,Players Burguer,Lanches,29.5,SAO PAULO
Yakissoba de frango ,0073221c218bd52260f0e9eca17a22e43f3c8052ab9b0a33de90413ef4a24be3,9d485d749f53b9da1e52e1ef2b2477e0c0aa680befde9658b9c4f51a9e9bd3ed,Yatta,Yakissoba ,25,PORTO ALEGRE
Kit com 120 salgados sortidos,0073cf92a77ea9c5cd06e1a588ab79d357cad9864ab0c40d5fed488f62919e72,77f0172c99c1ffafa7e9b9140d73eae68b8ef3cec52baefee3c3725ee0cb714d,D'lisboa, Kit de Salgados,60,RECIFE
Penne,00743a728e9ac9dbcab0fac0bcca53a12e83fbd941a82a8b1f3ca54bf58d16b6,13d385024150674e6683949699e2cedf468188331897ed4967a33c1c40af45f6,Link Festas,Massas Italianas,16.9,RECIFE
Penne,00743a728e9ac9dbcab0fac0bcca53a12e83fbd941a82a8b1f3ca54bf58d16b6,13d385024150674e6683949699e2cedf468188331897ed4967a33c1c40af45f6,Link Festas,Massas Italianas,20.9,RECIFE
Espaghetti frustos (2 pessoas),0074476daf86e6328b4698c19a9f1284dc61a180e66ac44b7e7e9a9be88979a1,7c62f79fdb78d183308f9244ec4e90e2fcb596852cfd08f7de1c6310500e37da,Brasa E Mar Restaurante,Peixes,195.38,SAO PAULO
1/2 Chicken Domburi + Hot roll,0074a452d3eeea8a84952593a67889b060cbc2efbb5394c346c074c178503be7,af9571c9ece87eb016aeb536647957d10d09ef8acaafca0b99fe2ebdc515bb2b,Gendai - Center 3,"ALMOÇO QUE CABE NO BOLSO POR ATÉ R$ 23,90.",21.9,SAO PAULO
Skol ,00758483e0a8bef1661ab09a8bedefc11eae309a3ec5b27ce0161b1f5a5fc244,94635bc87fd013d2d2c9ed4549c7d91317aa4137fc24bcd3ff7e82b73549654f,Real Temakeria,Bebidas,7.9,RECIFE
Pudim,0075ba6f2e7b4e991d4db03095aa7a8a0a8b007c461e2835624f61c669891137,26cb55ca8c709de1c4f0703409faf5fa9b93a50d28397d903aa8fa0181c3f7eb,Mokaflor Café,Sobremesas,10,SAO PAULO
Fanta 350ml,0075ec2a9d3ff47f02b5907ba35b3daa4e75ded34f1fa6368aceca7f7054d727,217d6079d3b87def56d88e4e6139efdeda2933f6a8b92c0bdcf6143a141550f9,Bolados Lanches,Bebidas,5,SAO PAULO
Kimchi tigué,00761232f2ad8ca6838b08f4c856aca1198389781c98691f4b10b5f4afaf21b4,d40cea3ee7b2098660b3725d64bc38bad180838fbc1a85505f5371354f7ecdb1,New Shin-la Kwan,Pratos individuais,44,SAO PAULO
Esfiha de calabresa com catupiry,00765888f18e6577b7da51991901eed4c5ba47dc93907c7114eb7db11800bdba,e273bcbbbc37614773cf7c7ccb030c9d2c7307aa056d71bb9de85ec0107835d3,Pizzaria Johnny Grajaú,Esfihas salgadas,2,SAO PAULO
Nhoque vegano de batata doce 400 g,0076de7d17e3f041d508c230a7cb4e165e7ca783d234ae5104edb65a374abf6e,169bb898b8c23364f8c558326ab6b67d0fbe8bedd8a4dfbf3b6f4b41cbddeda2,Brasileirinho Delivery - Itaim,Veganíssimos,22.99,SAO PAULO
Empada de calabresa,007702b9bab8560d1419cf294a053725ec70a6419d5bc19b4efc1cadbb09d464,81efe7dbf77dd03abd59d5b6367037b2426cb5d655add760a2d77a81445e0b7b,Chef Da Empada,Empadas salgadas,4.5,SAO PAULO
Guioza suíno (06 peças),00773c0b05aaf1e384e593eca94d9746f29b6256ccda4ee54260ab8f6734b852,5074355182eac2cc2acbe2a63bf0715de2ea7048cc9cf881b52e5b6d70710745,Oyabun Sushi,"Almoço por até R$ 22,90 ",19.9,PORTO ALEGRE
Onios (Cebola Empanada) - Grande,007745092c77887bf9bf06f128c844839b9347177b32549466c1241e3ef223fb,f7a11601edbb8e247ed34fa81881dec95f9e7b4588ec476512ce9563c9fab7f9,Hamburgueria Texas,Porções,20,SAO PAULO
Camarão com molho tomate e gengibre,007753e06f18bccb9925da5e005a356a2a467895939259af18b4d64922eb5c30,bccdff44b05697b134322aa45176e339681e0af96aab4c3a81f35b96dce82409,Golden Plaza,Camarões e peixes,78.9,SAO PAULO
Risole de queijo,00775a29ab4796ca1defd5a981ff095a2d1275f9874f6a0eafa76f58b815ac8a,d5bb47709b5ea9d797a937b0a82728a3490c7845551200434bde3f10c0abccff,Pastelaria Ki Delicia,Salgados,5,SAO PAULO
Fogazza brigadeiro,0077dfd489359200bfb5d7fa9c0bbfbc56f7b788b19f8a20423f466d491e7e46,ddcd92eeae4cc5fb5a29ab0c12ed2b909476b434aa868fdd7a56f5dd1664fef2,Pizzaria Parada Obrigatória,Fogazzas,15,SAO PAULO
Risoles presunto e queijo,00780c3c13109e2c9cf40c782d21637bd095e0c1a5f1b4ec8d993dce2863c139,e6b9b01d0e15ac8d52a297d925174e8dbec3af5f5823b7dcb772e0deaed570bb,Doceria La Floresta,Salgados,5,SAO PAULO
Donuts,007853e3976f71e87b29d4df5bb8d52e79bd900488775dfe492729ce73cb2d37,06ee82c3d25f83e1431ff50e4f237407d014851d44a7668ab0cd5c42e5bd6db9,Bronx Burger,Sobremesas,7,SAO PAULO
30- Toscana,00786d9bef72ec916335b9bb668f96c879ada81f8b70126e7953996a7116ade6,8960bc8e5f1437925f6c7908a48f973e33c079264fd6d87362af1c86db140a43,The House Pizzas Em Cone,CONE MÉDIO - 12CM,6,SAO PAULO
212 - Esfiha de peperoni,00789273cb3cd00c8392112e65f6cf69e861541bb25eba318f335d858338f5ff,9ee9ddb1339e111a18ba41478eb46685dde5bd7a125624d2aa53014834e479d2,Pizzas E Esfihas Brothers,Esfihas big,7.5,SAO PAULO
212 - Esfiha de peperoni,00789273cb3cd00c8392112e65f6cf69e861541bb25eba318f335d858338f5ff,9ee9ddb1339e111a18ba41478eb46685dde5bd7a125624d2aa53014834e479d2,Pizzas E Esfihas Brothers,Esfihas big,7,SAO PAULO
McShake 400ml Kopenhagen Chocolate,0078d9a8d3b5f345a621aee94fc12a129ac56ed2a088602765bc5f264da34e17,4f13ea94911b14fced387ade0cc5de41e54e6dbc34e7a97e3fd6e2c2aaf9499c,Mcdonald's - Robert Kennedy,McShake,11.9,SAO PAULO
Isca de Filet Mignon Molho Madeira,0079452040f781a51522277fece255b6c0c23deb81b67223482ae624ab221254,7caac87a58bf2940bfe8aee65ff751a1ef0c5aa4fa0c06ea3e3e14185fad6818,A Galeteria Assados - Morumbi,PETISCOS ,75,SAO PAULO
022_ Risoto de frango desfiado,00795bc6f02699974d52feb916db5dafee3e8abf85fe60c9aacfa5c318c1dffb,9d612574e239f2dcee3d73ac81be65cff776b93db0652a0e8db87866971a7021,Sabor Very,Fit,18.9,RECIFE
Temaki Shake,0079a66e42619a9f4090cf004ea993d618537681e85234ae258e3266dd52dd7b,198f81b6d061258507e2aaf483e3c4aca3e8d1bf6331b8c38488386940f2476a,Omotenashi,Temakis,26.5,SAO PAULO
Temaki Shake,0079a66e42619a9f4090cf004ea993d618537681e85234ae258e3266dd52dd7b,198f81b6d061258507e2aaf483e3c4aca3e8d1bf6331b8c38488386940f2476a,Omotenashi,Temakis,26.55,SAO PAULO
Coca cola,0079b26f3bbc18679e5fdf2a8fb238f9bb110518a02b713610cf50fcae2b4f64,6fbd2b8437585ec89cef66a6a736495322d7f28137143039ce8c60fe4a787b43,Delimar - Delicias Da Família,Bebidas,5,RECIFE
Sopa de abóbora thai,0079bc386c2b1cd800116947209eb158ad053a744d75b43dcc4fb3d1d33fef4d,2151d558abdadc2dd6fef6ad6c7dd0422705d0cda077a7e0ac698c859e0d1433,Super Natural - Pinheiros,Saladas e sopa,15,SAO PAULO
260 - doce de leite,0079c0ff0d2fc6e920d9d4c1640bbd1cc7bc70ff319a814d3876d3eafd54a1d1,be94fee6066eac467133df28507ea0fb36ea716af9147dd52ee4df8df99309eb,Pizzas E Esfihas Big Brothers Ii,Esfihas doces,6.5,SAO PAULO
PIZZA DE CALABRESA + BROTO DE CHOCOLATE + REFRIGERANTE 2L,0079d87540fcff7374576e1f8986068c18c1b0a603560a30aeba6ab489c3f78f,778aac462b2348119aee9b95a90aed0b5ce5fd6ec676a1c6349f7462c1623d9d,Pizzaria Forno Mineiro,PROMOÇÕES INPERDIVÉIS E É POR TEMPO LIMITADO.,49.99,SAO PAULO
PIZZA DE CALABRESA + BROTO DE CHOCOLATE + REFRIGERANTE 2L,0079d87540fcff7374576e1f8986068c18c1b0a603560a30aeba6ab489c3f78f,778aac462b2348119aee9b95a90aed0b5ce5fd6ec676a1c6349f7462c1623d9d,Pizzaria Forno Mineiro,PROMOÇÕES INPERDIVÉIS E É POR TEMPO LIMITADO.,52.99,SAO PAULO
Quesadilha 4 fatias,0079dd25af01ea58ae42eb54e825a05e0c5a52fdc6a3fcbafcf171221ba29146,1affffe29d3697baf156349959ba3b5611aac78403413a794185e8bd26dbb229,Los Burritos,Outros,27.48,SAO PAULO
dica da chef ,007a19c8a2d6b567d0398b63e810fb8d617e73156f9c70e7f4a375989ccb938e,b5c19912dc0feca65d173cc07db656f2bc5069759f1f768429180b55d4b90fe7,Sabor Capixaba,promoção do dia ,12.99,SAO PAULO
Filé de Frango à Milanesa,007a20e35bb2718dfd59f57aa3a1bdb5f08c27b02950c1df6d11af4b1d765ab1,383c73e7e60a1e3bba89af66d3ce1e5e6ee71cad29b2b29b8a38a7325ac1c84f,Restaurante Chopp Center,Almoços Executivos,19,SAO PAULO
McShake 400ml Kopenhagen Chocolate,007aa60017355e478a8ad4af6a02de0bfa9c9a04b99eafb84ca388c91d4ed8dd,2ea9abb20bcd28574d2ec6d1e8f8ba8c1766f183a9fac46ae7fbcfe0144205e4,Mcdonald's - Petropolis,McShake,11.9,PORTO ALEGRE
Batata frita,007acad08ed19915b07334226f4b9de2257174780ff703041e98f2d17bd8ed79,464b4a4cf77db2137bd04a4b81ba7473312df6e2cec0459536e05d65637c058f,Expresso De Minas,Porções,21.9,SAO PAULO
FEIJOADA LIGHT + FAROFA DE SOJA FIT + VINAGRETE (500g),007aea7d5ff3e78277eae8b3116cc25dbeda9c63d41a398802195a406f3adbc5,f903a9f74ad74bd11ceca2d50900a0161a63a6363adb99b512f50fa02451a3d5,Medida Fit,NOVIDADES MEDIDA FIT ,30,SAO PAULO
Kit com 12 cookies,007b0873036099f07bb9604bff81730a61a8b6f91e753626d21d2f399864d060,cc7c450088605ea8f504bbabb012ec0cd34acfb12c1b13be73a38a53a4c7bf77,Subway - Itaim Paulista,Sobremesas - hummm,41.9,SAO PAULO
Porção de Frango a Passarinho,007b37935b018b3174a00c856ecb5d4a78cbadd32e770233d796cd570dc3dd0d,ce0498a9ee78e41b1d0afc80b0cf12b55265ba12dedde3a0fe52b97749bd427c,Ilha Do Espetinho,Porções ,25,SAO PAULO
Frango Xadrez - Pequeno Executivo,007b3b1d505f051bda68094186dd7042a10d18d1c0794cb83b39a0fea6096476,1c885c4c05f35ec55cc6ccffc10fc3d4a8559eeec572b8bab3b555f5faeb26c0,Lig-lig - Vila Maria,Promoção,21.9,SAO PAULO
Pastel à moda china,007b3d24d4cccb60a17be4680f8a3a35a0e2eda66045bf8e8e2761bba59ff7b3,7d06d63a322a1c3c1d0083a5529e53200d6c5d97408408b39b78e2d022d83cab,Birutas - Jaguaré,Pastéis salgados,15,SAO PAULO
X-Salada,007b92653693efc246d2399cd7c71fb23e8b6f6c2525a7e657a784ace60f97f6,768d42eb37e80b5547c6a356258dc3f00b8491f5167a780005e7691904fdc8ac,Joca's Burguer E Pastelaria,Hambúrgueres 120g,10.5,SAO PAULO
Promoção Pizza Casadinha (2 Pizzas),007ba3ab7b6832f6fa5560bc86757ff92e7f5335fab2ee739bc2d7dc203a09a8,9709cb6d0946866f0e2b772494745f3c3683432d8af3f076ad852b013906737f,Habib's - Grajau,Promoções Especiais,39.9,SAO PAULO
coca cola  2l,007bff9ce8a38c18e5428d01746ee78f87808bb4615425e8431a8335678e0df4,b28d9d05dc6a32f797bd3d2e90b2746cd774001f563e98a31188a72df0d915be,Delícias Da Dani,Bebidas,9,SAO PAULO
The grand class burger,007c01b9699d89e0c8611dbfa3023aa531d356a90a98d10a33887a67cf247126,79f1e062ed064c7bea2a3bb3826f4b00e734cda5e9953dc302092b1fc9a66baa,New Class Burger,Lanches,30,SAO PAULO
Batatas fritas,007c220b14e965af0c11810637ae686576dd55c0e83c4e65a64c670d10eae83e,f9c81ea109031b7447b57224db533bd89b584742e1f37673f9ffdfce0d0bb559,Mestiço,Guarnições,18.7,SAO PAULO
Combo 8,007c404b178948cf9b2b544043aee1155dc36a0dd9cc60195885cde82e355242,4d72524c4d8d6b1e3f8b0464768f80a7850868d16d4b01132d53c062b38ab144,Gueto,Combos ,33,SAO PAULO
TERÇA FEIRA: FRANGO DE PANELA COM QUIABO ( UMA COXA E UMA SOBRECOXA) ( Cortesia: Gelatina e Refrigerante de 250ml),007c56dc671faa58bbb0733f7b5ca2d45cc9231421bdfd6d9fb0f8a681788643,e7633d031c8c37accbdb27729662463381ee3e759d30e78bf52dc1b051f690a5,Amora Restaurante,"Almoço por até R$ 22,90",16.9,SAO PAULO
Salame à vácuo 24gr,007cee51c1815a583e65012aae073e22004e83161023751ef004fe48f152319a,cba88a671a80f95f2a2b0f0415984df254c02ffb642bd983c6ab1796993bebd6,Sos Esquenta,Petiscos,5.5,SAO PAULO
706- Frango Xadrez sem verdura (Serve 3 Pessoas),007d22eed4cf5dd4935b8862c63c89857b4968918a7fb65b96992fe6cc3b0a91,d60624247c876ce0deef4c34cdbc7029d1e623d59f289d09446a4e69df84f220,Portal Do Derby,Frango,40,RECIFE
Aniversário,007dc9e29f64a827bf0ccc4a9f085d80d1ca26d18ff03d818ed8a1ea04c01a68,d118c80e7e650cad8e2b001d3c33f7254c3745f339308abcd72f5a9d3bedcfcc,Pastel Com Borda,Pastéis Doces - Petiscos pequenos,6.05,PORTO ALEGRE
"Filé de frango a parmegiana, arroz, salada (alface e tomate)",007ddac1fd464478313c7130f93e523f25dbe2d5b410df80a52bb7697f1bb7ce,013ef1e204d6a65832b6faa89e493886d09fc7f29986236154604cb5dd4c721e,Restaurante Da Vovó,Pratos especial  feriado,18.99,SAO PAULO
FOG Bacon,007df80c7a7e28a26e7dbb224a0f3aadb3401a2c1c73dda9c76d341e570dc7a6,f3573837770ceb6cf0a8ed58e0a5bceb8f362740c879b885f03cfdf172de7076,Pizzaria Lá Favorita 2,Fogazzas Assadas,18.5,SAO PAULO
SACHE TARÊ,007e8469544b847e4a2a4040ab562bca129ac52d13913098060cd38fd62d3f52,29d7aaaa0235127e25ef17107067d1b405dce3ba5e12a4f688b57db88d8c0199,Sushi Trem,PROMOÇÕES,1,SAO PAULO
25- Pit bull,007eb4850e112e828dd75e5187904d04784e65e67a3e4c51cde5eaefa2aa6616,065d6550f6ccdb82cd06f75a2af1c264fecc3f7596e9eb3c0a4aa10fa91e9e21,Hamburgão Lanches Especiais,Hot dog's,11.5,SAO PAULO
Sopa da Terrinha,007f9b7c1b9e5fbe5110f695db7e67aad83f449b1aa40779c63bb5cafde72419,fffb6a1158a0efc8a2f267fbcdd1547c586ad8ee3c43f7283b91decd0f6e0060,Geração De Minas,Sopas,19.9,SAO PAULO
Milkshake clássico 300ml,007fe35003e28aa9fe9551bf9f50cf8f32cd69a65a0a3ad42b0cd9272b0de394,1bcf033790e907a0d82310b509c4ec7c51f0158b3c8d419145028a8ec3b396f9,Tenorio’s Burger,Sobremesa,16,SAO PAULO
Bauru,00800466f2fe6f02cc066656ca071814b4f932b7a4afd0141f2e74d8307ea9ff,d9dd21e553887fa91f0be519f25071bfa508ec147f25d69952239fc21a49df23,Brother's Fogazzaria E Esfiharia,Fogazzas Salgadas Assadas,7,SAO PAULO
510 – Garrafa Sake Karakuchi 720ml - Kizakura,00803caf2fcba429b91ac015efd0500b9c58d09c1ea4d543ff2a13375463f7f5,9183d50b9505f492fbd5c192f1919c504016eaeb9181eb4479bd518989e04328,Nayoro,Bebida,199,SAO PAULO
Roll Vegano,0080403c66a71a9272b3b7701c7ee04fb9a2fb7b5a7f2ae9a0ec533492ba33f1,e57edb6ce8cae0bb88093ca97929d9d0663727171518afc785f8cb3965a7f9bf,Yutake Sushi Zona Norte,Rolls,26.9,RECIFE
Arroz sírio (vegetariano),00806aae960f732c0b4f9e2915556621a6cab6369aa3e5dada9ac870a2f48711,f09de59a8aa04d0e222907280a1bbfd2f7b4269f241f10c22accfd15fbacfa47,Tony's Delicias Árabes,Acompanhamentos ,13,SAO PAULO
Itubaína Retrô,00812cbec2d05db174c5bbaabd7986f6a5c1c299250ad1798eb53ffea268ebf0,2bcd11e080e425568771e504446d4eee9509bf008fc9ea8375cd4558ccf5dfd9,Tann Sushi Bar,BEBIDAS,6,SAO PAULO
file de peixe,008233cc8a80723a69e953a5d7b9523d4bfdfc267b1920cb3533cee1c89e50a9,f557dffe228902da81e09287e1520ba2aeb34440b88365d40b827b788ec29bd3,Abraão Delivery,Marmitex pequeno,16,SAO PAULO
018 - caldo de mandioquinha,0082790596d701eaa5796286c29b3947fd3377326ce9fe859eaa46ba6ce6eac0,fc010569f6f4b9e7ae62bd611099c532ee53fa7da9277f5b5db3ef2c8c0b2be0,Pizzaria E Restaurante Feijão De Corda,Caldos,10.9,SAO PAULO
Coxinha de frango 20un,0083232eff94a8b7f182020e0085ef665b46e208a80510243a74f044fce3ea24,cd1f53b23106d7588250dc181e8190247ec0e774aacf1836609c39a1674e18db,"Coxinhas, Já!",Avulsos,10.49,SAO PAULO
Coxinha de frango 20un,0083232eff94a8b7f182020e0085ef665b46e208a80510243a74f044fce3ea24,cd1f53b23106d7588250dc181e8190247ec0e774aacf1836609c39a1674e18db,"Coxinhas, Já!",Avulsos,14.9,SAO PAULO
3 - hambúrguer catupiry salada,00834da17988ec31b57e7357875370f4811708388e33ad4c14b9301009089ccb,0381a931e16df6d68d8a0a7456c918bcf19a6d94e8667383daf31bd3ada5100a,Inacio's Hamburguer - Pirituba,Hambúrguer ,18.3,SAO PAULO
12 - X-Tudo,0083ea7c845b3b4e39f3b543cee43265a97708abad4910ac56f8c3908aa4ab1c,2b94eb536bd68df658d83d559c8522d180ab9ba8c89f3af2cc3b00fc309e6781,Fornalha De Ouro Mooca,Hambúrgueres,18,SAO PAULO
Esfiha americana catupury,00840d93b39b4c96060cce4b990ae32aca67f136b549cf8d57f599216785c5f3,0f61326bf7a6d41b5bac74a1f6226e84a55888cf1448a039c858c3a7b909fd56,Esfiha Mustafá,Esfihas de Frango e Peito de Peru ,9.9,SAO PAULO
Yakissoba Vegetariano,0084273672cf765c3b0ae28ed07d3ea6a5678bcb26bcca33c75ef9a3a5cf0610,541fa66413b44760a095df2c26ad76346967f5edd7da9363fb74d617e447695b,Shinrai Sushi,Pratos Quentes,19.9,SAO PAULO
Cerveja,0084a81ea503bda8abdac5ecf6471b4a5deaae33a576184150528ae0414dbab9,d780cc98b25677fd306cce5c647bf983ed5aea846659098d827c6a7476f5bc11,Domino's Pizza - Chácara Klabin,Bebidas,6.9,SAO PAULO
CONTRA FILÉ A CAVALO,0084bbf3070cacb3757430c05417d3fb18931c5362e1ceeb97d59a8b438ad638,4dcd8e0fbe0ca96d9bb3c1b627621febf9642a38f8102795df915f7377f94d33,X Grill,PRATOS A LA CARTE,32,SAO PAULO
Bamboo sushi 5,0084dadd0f434933f471e72d711722ec769bebdaa5d3d44b9158e45ae3a3457e,708677423b665752403ab199ef9838d7dfcfe0fe32660d6990f35cd40193a60c,Bamboo Sushi,Combinados,39.9,SAO PAULO
Suco detox,0084f0ddb9c77fa281dfc03f6bc568ce5e2a7cce892787d3138a3968b8b7aaab,052f14f807ec572f43cca2f348229438aeae4d2be2db1a03554c14fba67d1ebc,Benjamin A Padaria - Bandeira Paulista,Bebidas,12.9,SAO PAULO
Pastel baiana 30cm,0084f63ea62e317b8af8e89ad8fbbe31d835c9b4fb91f3718499afb24ae3df6c,628536d2eea07b259e9abac5f89d3219ffaa0e06bd1db104e109fa46b4396ad2,Pastel Croc 30,Pastéis de Carne 30 cm,22.9,SAO PAULO
Porção Batata Palito ,00852ffe515fceb90a5af2d61a94750fe2c4d2da02f3f4ca2df48cda12433564,adc3b767d594f7ddb8991ffff8834d26ba9811caad4d7dae7dde5bb9b1dac5d9,Retro Umarizal Burger & Chopp,Porções,20,SAO PAULO
Ebi Jow,00853b337e5e1231f4ee1d6e07129ee790574b14ff6e26e1bbac2bdf2ece39cb,3e8ec6c0cbbca726a6b1b94571c862db9fc349cb3a3f72e5753360998bdfbb08,Tem.maki&beer,Duplas de Respeito,11.9,RECIFE
Dois irmãos ,008543eb016c09afc092ae6512e1e385ba0aaaabf2890cf697d0bba2e5c430e7,1cfcbf656ee22d8c2cb3c109af04b56be22c47daac258d2282d534dc0fae84ba,Boteko Da Villa,Lanches,10,SAO PAULO
Mongolian Beef,008543eb016c09afc092ae6512e1e385ba0aaaabf2890cf697d0bba2e5c430e7,f0011658bfa3ed6548e01ef27dcf812cb1f7a9e8d09ac617c841a25571d35ca3,P.f. Chang's Pátio Higienópolis,Promoções ,50,SAO PAULO
Refrigerante 500ml,008594803ce48cd99c3333e1c73f95e378dc68ff2a6dc5585d4dbb5eebb79dd4,dffd70b785599b983e0e91ebc9ebc70d3444b1d3fd7c20d4f44ec89dcd62f720,Vila Torre Original Burger,Bebidas ,6.4,RECIFE
Onion rings,00859b2381980a1534d8c18d9f88841e973896f61ef1959b003dcb9062f20dfa,f3c376fa8efc122684c45fdc89a0d8265e7439c1c7c34736ea69a8144e490fbf,Tx Burger,ESCOLHA SUAS PORÇÕES\t,20.5,SAO PAULO
Onion rings,00859b2381980a1534d8c18d9f88841e973896f61ef1959b003dcb9062f20dfa,f3c376fa8efc122684c45fdc89a0d8265e7439c1c7c34736ea69a8144e490fbf,Tx Burger,ESCOLHA SUAS PORÇÕES\t,18.5,SAO PAULO
Onion rings,00859b2381980a1534d8c18d9f88841e973896f61ef1959b003dcb9062f20dfa,f3c376fa8efc122684c45fdc89a0d8265e7439c1c7c34736ea69a8144e490fbf,Tx Burger,ESCOLHA SUAS PORÇÕES\t,19.9,SAO PAULO
Bolo Gourmet,0085dfa45c1343d6346b2e28fc9d8b46daba4819573253f11ff3894d273c1936,2a6bb088d470b6ba13ca472f9da3935c149de812a4436abc5cf31e1dfefa62c9,Lanches E Batatas Bom Gosto,Sobremesas,8,SAO PAULO
Pudim de leite condensado,0085e6c893fde6012598304738419b3a25f73b02656df9da125fffd82ed86560,42bcaa1ab2be705439127174f1b1837c4f5693c9e3d53c1d41512e3b64717251,Costela Dourada,Sobremesas,9.9,SAO PAULO
Nº 47,0085ed5b917adf740cea1230a74f5b4e759d6320c38ddd3d16f1405ad0ad9a81,2d9027034016ad06e8b2411a3486468b031202690cb1d0ded34afbfaf1412516,Mi Mesa Delivery Comida Rápida E Moderna,Omeletes,15,SAO PAULO
Pedaço de Calabresa,0086069bccb57c9d5ec736acbdd9e10891d2292f9ff17657a8a1b772440756e1,29546f3210267b1f1f6dd1e173fb418d7d532be8e6c5b8b95b448d24de31922a,O Pedaço Da Pizza,PEDAÇO DE PIZZA - Salgada,10.6,SAO PAULO
Creme de milho,008608f82a861f25f825619bc46780208e1cb520b3222ffaa21fa7c696ac9642,69a732293730ebf51f70d86e0de9d4c61c5c8274cfb2f06b98e78d2e7c9db87f,Disk Burguer Tremembe,Cheeseburguer,23,SAO PAULO
Suco de polpa 500ml,008612d89f53811d30820d60252c9255bb167b5c13f60e1b487594df15e7f073,abc4c8dfa3c5d265c6e3d58ee21c2c8c64d2161fb1f2bba085e06dc00e9af051,Donana,Bebidas,7,SAO PAULO
COSTELINHA 150g.,0086beb017e55b3160f692df2bdd1ac5e39236bdacda7b1c003c10f6e1ad8c08,a87bbb20058d7bc4928823226727a47a6bccd77fb38a385acf15ee0ccd39ba76,Brooklyn's Burger & Beer,NOSSOS TRADICIONAIS,26,SAO PAULO
Miss potato,0086c52d572d4fffa05ef988927370959168aa80e23b6fe521a90af8626d1359,ea4f15decc21032f69f277c143efd7a81f95076bdf7617f65a16ee78291d099a,Açougue Vegano,Almoço,16.5,SAO PAULO
São paulo,00874f4a508e4e3414039affb58eff8f9f0373347af284216c90f9ec778b620a,ae0cab127ded19973a3526a71ad87c19a4aa40e3a0a7950cddb42ae018859fb8,Hambúrguer & Cia,Lanches,17,SAO PAULO
Esfiha Escarola,0087cf99a4636ebd9a0f66eaf98fde8bca977e2a274bc832cc903c3561735e9d,9f3ea16d398d9b1cf46eff49e7f9c6a9de5f6853cc6ddd80e11735fa71fcaf52,Pizzaria Bonanova - Vila Carrão,Esfihas,3.9,SAO PAULO
Omelete Bacon e Cebola,0087cf99a4636ebd9a0f66eaf98fde8bca977e2a274bc832cc903c3561735e9d,d574c2cb4f321cc17d29844dfb871351a577f8f08dc0839a84ef6f768ccd25fc,Stop Dog Hamburgueria - Moema,Omeletes,20.3,SAO PAULO
Risoto (arroz arbóreo ou arroz integral) - monte o seu,0087cf99a4636ebd9a0f66eaf98fde8bca977e2a274bc832cc903c3561735e9d,fa057303c5cb7a000b028fced028cf33c1cc522afb32cd6cd60841f01aab0531,Salad Bowl - Jardim Paulista,Risotos,33.9,SAO PAULO
Coca-Cola Lata ,008809dcf052fd67dd3c9ac8949d4de812b1ed6e3b69622755e1a0176c286ec1,2ea9abb20bcd28574d2ec6d1e8f8ba8c1766f183a9fac46ae7fbcfe0144205e4,Mcdonald's - Petropolis,Bebida,7.9,PORTO ALEGRE
SUCO DE LARANJA NATURAL 500ml,00886fd78400931df7fced7eed787fa3b519c16a0701a39102d79b9e1ce9ba25,be51f9cba0d92b5221082d7ed9e852acc4267badfdcc5b9df40a1f954fca44c5,New Holiday Café & Bistrô,BEBIDAS,9.9,SAO PAULO
Fogazza escarola com catupiry,008873a4c8dbb39a7244e088fa5c71b27380f0256c81cb014560db5ccfa43b41,a3f20c3175e2156c503d4eb09dbbe36bd7be120950e05cb3421f2416283f73a2,Hani Esfiharia - Ipiranga,Fogazzas,8.5,SAO PAULO
SUCO DETONA AÊ!,0089ea316a0c92a565a31d68a9e8dc7e59179de37376f94dcde4c3d0b94ce0d3,729dc219f8ec316c094ce8f912395997f5cb5eacf742ecc9838d3e6ec5576bc5,Eatwell Brasil,Sucos,9.9,SAO PAULO
828 - brigadeiro,008a139b59060e58516f0fde64cf38ad84712cd66c7d213194648aa79ae51981,90e1d6e8dd089cc2783ab848825448e36765cf5238c06320002e576b8e3ebe84,Pizzaria Recanto Frutuoso Manzini,ESFIHA DOCE,3,SAO PAULO
